GEOID_ZCTA5_20,GEOID_COUNTY_20,NAMELSAD_COUNTY_20,AREALAND_PART
82225,56027,Niobrara County,2720164097
82604,56025,Natrona County,2715253953
97630,41037,Lake County,2713987813
78840,48465,Val Verde County,2709891842
59935,30053,Lincoln County,2682048300
81230,08051,Gunnison County,2681860597
59761,30001,Beaverhead County,2681160966
79772,48389,Reeves County,2679521002
59471,30027,Fergus County,2657580974
83464,16059,Lemhi County,2641025735
59739,30001,Beaverhead County,2635609166
98826,53007,Chelan County,2630458113
81049,08071,Las Animas County,2629047950
82070,56001,Albany County,2627386726
57625,46041,Dewey County,2621400269
86036,04005,Coconino County,2621129606
88040,35023,Hidalgo County,2599779916
81147,08007,Archuleta County,2594242243
82923,56035,Sublette County,2586937319
59457,30027,Fergus County,2578622519
99613,02164,Lake and Peninsula Borough,2572355220
80720,08121,Washington County,2555378484
59524,30071,Phillips County,2555072517
59330,30021,Dawson County,2544475171
04441,23021,Piscataquis County,2541697855
57760,46019,Butte County,2522831747
81630,08045,Garfield County,2493808173
73933,40025,Cimarron County,2489244027
86438,04015,Mohave County,2488297642
83113,56035,Sublette County,2485273863
79045,48117,Deaf Smith County,2451637985
97836,41049,Morrow County,2448685771
86503,04001,Apache County,2444836332
92332,06071,San Bernardino County,2437178010
56627,27071,Koochiching County,2432732004
76936,48413,Schleicher County,2432683705
98926,53037,Kittitas County,2429686917
59928,30029,Flathead County,2427286772
59011,30097,Sweet Grass County,2425158127
89124,32003,Clark County,2419735959
79360,48165,Gaines County,2379165431
86046,04005,Coconino County,2376068985
86004,04005,Coconino County,2368500588
88316,35027,Lincoln County,2355952868
86505,04001,Apache County,2341906618
84535,49037,San Juan County,2340429811
97736,41025,Harney County,2323889868
88061,35017,Grant County,2323811953
57717,46019,Butte County,2313301381
83013,56039,Teton County,2305693950
83244,16023,Butte County,2302284979
79837,35035,Otero County,2300722966
86040,04005,Coconino County,2299596208
88424,35059,Union County,2295511448
84532,49019,Grand County,2290595913
86502,04001,Apache County,2288460311
85344,04012,La Paz County,2279892809
59858,30039,Granite County,2279618075
83805,16021,Boundary County,2279350794
99568,02122,Kenai Peninsula Borough,2277443276
88401,35037,Quay County,2267845386
99820,02105,Hoonah-Angoon Census Area,2261724496
59829,30081,Ravalli County,2257207179
59353,30109,Wibaux County,2255265205
98937,53077,Yakima County,2240111087
89046,32003,Clark County,2239036526
69343,31031,Cherry County,2232126414
88318,35027,Lincoln County,2224333642
88252,35025,Lea County,2213842081
78014,48283,La Salle County,2213522678
89447,32019,Lyon County,2211298468
83327,16025,Camas County,2200758570
88301,35027,Lincoln County,2200744630
59313,30025,Fallon County,2196346828
59854,30077,Powell County,2186379304
83467,16059,Lemhi County,2185347161
81527,08077,Mesa County,2180573320
86434,04015,Mohave County,2174198827
78801,48463,Uvalde County,2157871069
88267,35025,Lea County,2154181348
59347,30087,Rosebud County,2153252413
79842,48043,Brewster County,2146432934
85632,04003,Cochise County,2145849425
85554,04007,Gila County,2145007827
86052,04005,Coconino County,2132616644
88039,35003,Catron County,2131549509
81120,08021,Conejos County,2131082337
88321,35057,Torrance County,2130214981
59522,30051,Liberty County,2128784604
57580,46123,Tripp County,2121363917
55604,27031,Cook County,2118120281
88260,35025,Lea County,2110620516
85541,04007,Gila County,2093972394
59311,30011,Carter County,2093164759
55731,27075,Lake County,2090681869
87752,35033,Mora County,2089006854
78837,48465,Val Verde County,2089000819
76951,48431,Sterling County,2084286953
83342,16031,Cassia County,2079664880
55771,27137,St. Louis County,2076223721
78361,48247,Jim Hogg County,2065789371
81054,08011,Bent County,2063627495
80487,08107,Routt County,2061119826
89311,32033,White Pine County,2056112323
83604,16073,Owyhee County,2055867035
59034,30003,Big Horn County,2049566193
76380,48023,Baylor County,2049184221
59442,30015,Chouteau County,2046835872
97710,41025,Harney County,2041275648
97814,41001,Baker County,2038038554
76849,48267,Kimble County,2033842088
78072,48311,McMullen County,2027200848
59047,30067,Park County,2023565498
87020,35006,Cibola County,2022080444
79070,48357,Ochiltree County,2019886748
85607,04003,Cochise County,2015942755
88344,35035,Otero County,2011144544
59873,30089,Sanders County,1992615502
81082,08071,Las Animas County,1989742383
59038,30103,Treasure County,1983116020
95043,06069,San Benito County,1981368809
82433,56029,Park County,1976741814
79714,48003,Andrews County,1970877366
59014,30009,Carbon County,1965857262
59417,30035,Glacier County,1965000629
81059,08071,Las Animas County,1964062431
59446,30015,Chouteau County,1961422504
80821,08073,Lincoln County,1957858922
57551,46007,Bennett County,1950626996
67846,20055,Finney County,1948343984
04765,23019,Penobscot County,1943934844
59526,30005,Blaine County,1927602442
59720,30057,Madison County,1924836778
34141,12021,Collier County,1921229494
67878,20075,Hamilton County,1917503904
82435,56029,Park County,1916611400
59050,30003,Big Horn County,1913322433
98331,53031,Jefferson County,1910174016
81036,08061,Kiowa County,1909412374
86025,04017,Navajo County,1909163198
83252,16071,Oneida County,1907251380
88116,35041,Roosevelt County,1902399352
67879,20071,Greeley County,1902141582
81089,08055,Huerfano County,1898807589
76859,48327,Menard County,1887722471
83221,16011,Bingham County,1879311585
87830,35003,Catron County,1874841326
57790,46103,Pennington County,1868973679
69152,31091,Hooker County,1867796117
86045,04005,Coconino County,1866408116
84530,49037,San Juan County,1861122816
99114,53065,Stevens County,1861016824
85325,04012,La Paz County,1860605418
88340,35035,Otero County,1860465632
79848,48443,Terrell County,1859347773
68714,31149,Rock County,1858197436
59644,30007,Broadwater County,1855210991
58801,38105,Williams County,1854659483
85354,04013,Maricopa County,1853527045
57567,46055,Haakon County,1852946760
59421,30013,Cascade County,1847392313
59201,30085,Roosevelt County,1845361075
78643,48299,Llano County,1844751162
59859,30089,Sanders County,1840964756
79014,48211,Hemphill County,1838257832
87747,35007,Colfax County,1835164429
76932,48383,Reagan County,1832018464
99657,02158,Kusilvak Census Area,1830162219
49868,26095,Luce County,1829840972
59648,30049,Lewis and Clark County,1825827581
89815,32007,Elko County,1822512636
80807,08063,Kit Carson County,1821797908
57735,46047,Fall River County,1814052941
99678,02070,Dillingham Census Area,1813819984
93210,06019,Fresno County,1812675273
82512,56013,Fremont County,1807616227
82721,56011,Crook County,1804788103
85546,04009,Graham County,1803933160
86510,04017,Navajo County,1800901033
82501,56013,Fremont County,1798071618
33440,12051,Hendry County,1792711541
93453,06079,San Luis Obispo County,1790674757
76856,48319,Mason County,1790575708
97828,41063,Wallowa County,1790473066
81130,08079,Mineral County,1784147279
85348,04012,La Paz County,1776149262
59336,30017,Custer County,1775390153
59036,30107,Wheatland County,1774384221
80758,08125,Yuma County,1770331600
99347,53023,Garfield County,1766473431
34972,12093,Okeechobee County,1764370895
81027,08071,Las Animas County,1759744141
57552,46055,Haakon County,1758829515
78624,48171,Gillespie County,1755079639
59434,30035,Glacier County,1754029948
83213,16023,Butte County,1752858950
87943,35051,Sierra County,1752564676
99567,02020,Anchorage Municipality,1748873984
82930,49043,Summit County,1748098625
57642,46031,Corson County,1742488129
59639,30049,Lewis and Clark County,1742104657
81212,08043,Fremont County,1740466946
59710,30057,Madison County,1740419807
85922,04011,Greenlee County,1738721563
59479,30045,Judith Basin County,1737542549
82925,56035,Sublette County,1731990947
82941,56035,Sublette County,1731137915
85924,04001,Apache County,1728289869
85533,04011,Greenlee County,1724795461
82240,56015,Goshen County,1721679351
97641,41037,Lake County,1721574190
97823,41021,Gilliam County,1721417750
99169,53001,Adams County,1720571481
78045,48479,Webb County,1717233410
83276,16029,Caribou County,1715712728
81149,08109,Saguache County,1712650461
88042,35051,Sierra County,1710935506
71446,22115,Vernon Parish,1710383445
86024,04005,Coconino County,1706897733
99328,53013,Columbia County,1702371359
67871,20171,Scott County,1701232663
87036,35057,Torrance County,1691127972
81090,08009,Baca County,1690993851
96080,06103,Tehama County,1677133761
89013,32009,Esmeralda County,1675633454
57345,46069,Hyde County,1673850742
74056,40113,Osage County,1673154454
59730,30031,Gallatin County,1671458615
04945,23025,Somerset County,1663762611
79706,48329,Midland County,1661059172
89017,32017,Lincoln County,1656854824
57623,46137,Ziebach County,1656685903
81073,08009,Baca County,1655888356
82637,56009,Converse County,1651559826
73717,40151,Woods County,1651439012
77351,48373,Polk County,1649639411
89425,32013,Humboldt County,1649078033
67735,20181,Sherman County,1648966748
86044,04005,Coconino County,1646355806
98855,53047,Okanogan County,1637699666
88130,35041,Roosevelt County,1637100127
57579,46095,Mellette County,1631925063
83716,16039,Elmore County,1629093849
57787,46093,Meade County,1624544755
78019,48479,Webb County,1623327984
67756,20023,Cheyenne County,1621878261
97750,41069,Wheeler County,1621831490
76877,48411,San Saba County,1621704973
33034,12086,Miami-Dade County,1619016917
79356,48169,Garza County,1618259304
87013,35043,Sandoval County,1616986583
86053,04005,Coconino County,1616431791
69167,31117,McPherson County,1605040315
88310,35035,Otero County,1603030484
69301,31013,Box Butte County,1601986282
79331,48115,Dawson County,1601733053
59535,30005,Blaine County,1594499816
82720,56011,Crook County,1594163885
82442,56043,Washakie County,1591877883
79834,48043,Brewster County,1588934220
58854,38053,McKenzie County,1588635370
81650,08103,Rio Blanco County,1588378993
81252,08027,Custer County,1587543742
69337,31045,Dawes County,1585942369
97624,41035,Klamath County,1582628488
57638,46105,Perkins County,1577913693
80459,08049,Grand County,1574432387
84083,49045,Tooele County,1572660046
59489,30027,Fergus County,1572442830
87313,35031,McKinley County,1571532351
84021,49013,Duchesne County,1568771650
73942,40139,Texas County,1559341347
84307,49003,Box Elder County,1558429888
85132,04021,Pinal County,1557295635
87413,35045,San Juan County,1556168260
88240,35025,Lea County,1554416932
82301,56007,Carbon County,1554066150
59261,30071,Phillips County,1553274594
87002,35061,Valencia County,1546285046
89510,32031,Washoe County,1545735455
76945,48081,Coke County,1545690819
96101,06049,Modoc County,1545062959
84031,49013,Duchesne County,1540836911
88044,35013,Doña Ana County,1539334118
92227,06025,Imperial County,1537587667
99122,53043,Lincoln County,1535732602
80729,08123,Weld County,1535403025
68713,31089,Holt County,1534424383
81301,08067,La Plata County,1532202683
85602,04003,Cochise County,1524750989
86305,04025,Yavapai County,1524226731
82649,56013,Fremont County,1523252096
76458,48237,Jack County,1519896761
77964,48285,Lavaca County,1518923197
99645,02170,Matanuska-Susitna Borough,1518314077
97918,41045,Malheur County,1514611512
80759,08125,Yuma County,1511182428
78384,48131,Duval County,1510335729
87016,35057,Torrance County,1508911401
81047,08099,Prowers County,1507551692
86514,04001,Apache County,1505441676
79512,48335,Mitchell County,1500901716
77963,48175,Goliad County,1499547832
92225,06065,Riverside County,1497585790
59248,30105,Valley County,1496443901
83525,16049,Idaho County,1496440956
97601,41035,Klamath County,1496412543
59101,30111,Yellowstone County,1494934150
59263,30019,Daniels County,1491323136
87743,35021,Harding County,1483922527
81029,08009,Baca County,1476967205
59322,30033,Garfield County,1475200062
81434,08051,Gunnison County,1474162890
80810,08017,Cheyenne County,1474098704
88419,35059,Union County,1473744319
93514,06051,Mono County,1471410338
97904,41025,Harney County,1471228768
81071,08061,Kiowa County,1471180986
86320,04005,Coconino County,1470200886
89421,41045,Malheur County,1469163485
59074,30037,Golden Valley County,1467950610
99138,53019,Ferry County,1467386969
78582,48427,Starr County,1464001537
59025,30003,Big Horn County,1459412292
88418,35059,Union County,1458569663
80825,08017,Cheyenne County,1453439987
58368,38069,Pierce County,1452789248
97911,41045,Malheur County,1448281558
79019,48011,Armstrong County,1447858137
83340,16013,Blaine County,1444447015
84536,49037,San Juan County,1444259346
67860,20093,Kearny County,1438569570
77414,48321,Matagorda County,1437758472
79745,48495,Winkler County,1437073517
67839,20101,Lane County,1436906797
87420,35045,San Juan County,1433364506
59474,30101,Toole County,1432475707
95595,06105,Trinity County,1431651802
78076,48505,Zapata County,1429766394
69101,31111,Lincoln County,1428601455
89424,32031,Washoe County,1427613131
74501,40121,Pittsburg County,1426199814
83423,16033,Clark County,1424327525
85501,04007,Gila County,1423628581
81025,08101,Pueblo County,1423506697
81624,08077,Mesa County,1421466163
59077,30033,Garfield County,1415524386
79248,48101,Cottle County,1414005758
83672,16087,Washington County,1413360516
59046,30037,Golden Valley County,1413309145
86022,04005,Coconino County,1405866415
79720,48227,Howard County,1404383967
82730,56045,Weston County,1402218709
67861,20203,Wichita County,1401331165
97856,41023,Grant County,1400732149
73932,40007,Beaver County,1399742375
58554,38059,Morton County,1399218823
67880,20067,Grant County,1398049798
34266,12027,DeSoto County,1397778891
59270,30083,Richland County,1393850480
68763,31089,Holt County,1392041096
59840,30081,Ravalli County,1391833182
57785,46093,Meade County,1389242893
78851,48443,Terrell County,1387981191
83549,16049,Idaho County,1387214433
86332,04025,Yavapai County,1385892659
81235,08053,Hinsdale County,1384620225
59255,30085,Roosevelt County,1383056262
88101,35009,Curry County,1381245871
98840,53047,Okanogan County,1380393224
79347,48017,Bailey County,1380228394
99701,02290,Yukon-Koyukuk Census Area,1375678177
59724,30001,Beaverhead County,1375094007
92004,06073,San Diego County,1374357984
56727,27007,Beltrami County,1373404365
69218,31031,Cherry County,1373238557
83101,56023,Lincoln County,1373083370
81423,08113,San Miguel County,1372080407
67764,20109,Logan County,1364990907
30467,13251,Screven County,1364465554
99611,02122,Kenai Peninsula Borough,1364370027
59318,30033,Garfield County,1363315664
84017,49043,Summit County,1361634038
65560,29065,Dent County,1360837634
97037,41065,Wasco County,1359411103
92364,06071,San Bernardino County,1359308758
59602,30049,Lewis and Clark County,1358023983
86444,04015,Mohave County,1352340429
79081,48195,Hansford County,1351917916
88426,35021,Harding County,1350921259
59068,30009,Carbon County,1349114350
83333,16013,Blaine County,1348357177
78829,48507,Zavala County,1347722157
59823,30063,Missoula County,1347411030
29440,45043,Georgetown County,1347296658
76365,48077,Clay County,1346830629
79549,48415,Scurry County,1346009128
99350,53005,Benton County,1345926920
96032,06093,Siskiyou County,1345877368
97908,41045,Malheur County,1344434235
69210,31017,Brown County,1342985561
31537,13049,Charlton County,1342768596
79088,48437,Swisher County,1340096274
92239,06065,Riverside County,1339073970
88232,35005,Chaves County,1335432574
79227,48155,Foard County,1335042530
71953,05113,Polk County,1334132684
58646,38041,Hettinger County,1332414869
59872,30061,Mineral County,1331900021
34142,12021,Collier County,1331061719
68823,31071,Garfield County,1330044232
82801,56033,Sheridan County,1329321820
99348,53071,Walla Walla County,1326622815
70548,22113,Vermilion Parish,1326101973
79252,48197,Hardeman County,1325828282
81052,08099,Prowers County,1325741087
82835,56033,Sheridan County,1323719119
57626,46105,Perkins County,1322628032
78061,48163,Frio County,1321779704
99709,02090,Fairbanks North Star Borough,1321421906
82331,56007,Carbon County,1319779838
89001,32017,Lincoln County,1316626294
79502,48433,Stonewall County,1313744231
67854,20083,Hodgeman County,1311490931
89821,32011,Eureka County,1308747756
92036,06073,San Diego County,1306152002
67951,20189,Stevens County,1304750785
99563,02158,Kusilvak Census Area,1304683992
82729,56011,Crook County,1302912826
57772,46102,Oglala Lakota County,1301621876
58552,38029,Emmons County,1301445336
58654,38033,Golden Valley County,1300549570
58788,38049,McHenry County,1299145425
04462,23021,Piscataquis County,1298397100
59425,30073,Pondera County,1296507294
79373,48305,Lynn County,1295673165
98833,53047,Okanogan County,1294801707
96130,06035,Lassen County,1294720269
86333,04025,Yavapai County,1292975688
59486,30073,Pondera County,1292154592
57442,46107,Potter County,1292136695
89040,32003,Clark County,1290924221
83612,16003,Adams County,1287727180
97801,41059,Umatilla County,1285116276
78102,48025,Bee County,1284542789
88353,35019,Guadalupe County,1283819662
69121,31005,Arthur County,1283386978
83429,16043,Fremont County,1281008510
93549,06027,Inyo County,1280714042
71282,22065,Madison Parish,1280368035
84329,49003,Box Elder County,1276919127
99757,02290,Yukon-Koyukuk Census Area,1276048806
69214,31017,Brown County,1275323887
79226,48129,Donley County,1274985648
81050,08089,Otero County,1272979447
86443,04015,Mohave County,1272894199
59053,30059,Meagher County,1272027218
78861,48325,Medina County,1270998604
73832,40045,Ellis County,1267602830
76424,48429,Stephens County,1266369451
59430,30027,Fergus County,1263598971
70631,22023,Cameron Parish,1263150642
96064,06093,Siskiyou County,1261332961
98816,53007,Chelan County,1260935177
99301,53021,Franklin County,1259494487
98837,53025,Grant County,1259255383
68778,31103,Keya Paha County,1259121110
82336,56037,Sweetwater County,1254057032
92365,06071,San Bernardino County,1251803142
85326,04013,Maricopa County,1250869759
88250,35005,Chaves County,1250827255
80742,08123,Weld County,1250410304
78852,48323,Maverick County,1249932250
86035,04005,Coconino County,1249669056
88256,35015,Eddy County,1247474087
